Report Report

item id,item name,quantity,serial number,serial comment,age in days,age in months
,,,cddragonage064,,74,2.4
,,,cddragonage065,,74,2.4
,,,cddragonage066,,74,2.4
,,,cddragonage067,,74,2.4
,,,cddragonage068,,74,2.4
,,,cddragonage069,,74,2.4
,,,cddragonage070,,74,2.4
,,,cddragonage071,,74,2.4
,,,cddragonage072,,74,2.4
,,,cddragonage073,,74,2.4
,,,cddragonage074,,74,2.4
,,,cddragonage075,,74,2.4
,,,cddragonage076,,74,2.4
,,,cddragonage077,,74,2.4
,,,cddragonage078,,74,2.4
,,,cddragonage079,,74,2.4
,,,cddragonage080,,74,2.4
,,,cddragonage081,,74,2.4
,,,cddragonage082,,74,2.4
,,,cddragonage083,,74,2.4
,,,cddragonage084,,74,2.4
,,,cddragonage085,,74,2.4
,,,cddragonage086,,74,2.4
,,,cddragonage087,,74,2.4
,,,cddragonage088,,74,2.4
32,CYBERPOWER PC SERIES C,2,2388071,,73,2.4
,,,2431142,,73,2.4
33,BEATS PILL SPEAKER,2,SCRGHQQVPXF,,73,2.4
,,,SFN4KXRQCTK,,73,2.4
34,BEATS POWERBEATS PRO BUDS,2,SH2DN10B1LN3P,,73,2.4
,,,SH2JMX109LN3P,,73,2.4
38,GARMIN VIVOACTIVE 5 WATCH,1,87F852433,,73,2.4
41,AIRPODS 4,3,SGW14WNWRLY,,73,2.4
,,,SHVJJJQWFQ1,,73,2.4
,,,SKTH7XD95H4,,73,2.4
46,GOOGLE PIXEL BUDS 2A,2,58111WRBJB0499,,73,2.4
,,,59101WRBJB3416,,73,2.4
52,GOOGLE PIXEL WATCH 4,1,359117430967728,,73,2.4
63,IPAD A16 (W+C)128 GB,1,352302619790334,,47,1.5
65,IPAD PRO M4 13 (W) 256 GB,1,SJXKF950C3P,,73,2.4
67,IPAD PRO M5 13 (W+C) 256 GB,2,352355703295107,,15,0.5
,,,352355709093084,,15,0.5
68,IPHONE 17 PRO MAX 256 GB,7,350599865078429,Active Unlock,28,0.9
,,,350599866165662,Active Unlock,28,0.9
,,,356364247047848,Active,19,0.6
,,,356605227804917,,56,1.8
,,,357431261821892,,45,1.5
,,,357826998153354,Active Kit,34,1.1
,,,359614549800444,Active Unlock,28,0.9
70,IPHONE 17 PRO 256 GB,3,352190329269313,Active Unlock,19,0.6
,,,355820200559732,Active,28,0.9
,,,359477634647454,Box Damaged,15,0.5
71,JBL CHARGE 6,31,JBLC6-0034,,73,2.4
,,,JBLC6-0035,,73,2.4
,,,JBLC6-0036,,73,2.4
,,,JBLC6-0037,,73,2.4
,,,JBLC6-0038,,73,2.4
,,,JBLC6-0039,,73,2.4
,,,JBLC6-0040,,73,2.4
,,,JBLC6-0041,,73,2.4
,,,JBLC6-0042,,73,2.4
,,,JBLC6-0043,,73,2.4
,,,JBLC6-0044,,73,2.4
,,,JBLC6-0045,,73,2.4
,,,JBLC6-0046,,73,2.4
,,,JBLC6-0047,,73,2.4
,,,JBLC6-0048,,73,2.4
,,,JBLC6-0049,,73,2.4
,,,JBLC6-0050,,73,2.4
,,,JBLC6-0051,,73,2.4
,,,JBLC6-0052,,73,2.4
,,,JBLC6-0053,,73,2.4
,,,JBLC6-0054,,73,2.4
,,,JBLC6-0055,,73,2.4
,,,JBLC6-0056,,73,2.4
,,,JBLC6-0057,,73,2.4
,,,JBLC6-0058,,73,2.4
,,,JBLC6-0059,,73,2.4
,,,JBLC6-0060,,73,2.4
,,,JBLC6-0061,,73,2.4
,,,JBLC6-0062,,73,2.4
,,,JBLC6-0063,,73,2.4
,,,JBLC6-0064,,73,2.4
73,"ACER ASPIRE 7 A715-59G-58A8 16 GB, 512 GB",10,NHQX6SA001513010BD0X15,,73,2.4
,,,NHQX6SA001513011270X15,,73,2.4
,,,NHQX6SA00151500FB40X15,,73,2.4
,,,NHQX6SA0015200102D0X15,,73,2.4
,,,NHQX6SA001520011800X15,,73,2.4
,,,NHQX6SA001520011B70X15,,73,2.4
,,,NHQX6SA001520011E20X15,,73,2.4
,,,NHQX6SA001520013F90X15,,73,2.4
,,,NHQX6SA001520013FC0X15,,73,2.4
,,,NHQX6SA001520014060X15,,73,2.4
75,IPHONE 17 PRO MAX 512 GB,1,358419940353196,,73,2.4
76,IPHONE 17 PRO 1 TB,1,359724852602210,,73,2.4
77,IPHONE 17 AIR 256 GB,3,353065382258628,,55,1.8
,,,355413814918419,,26,0.9
,,,357223741476847,,31,1.0
78,IPHONE 17 512 GB,1,351523426490179,,73,2.4
79,IPHONE 16 PRO MAX 256 GB,14,351614406649742,Active Kit,19,0.6
,,,352356355395492,"96%, 317 Cycles",28,0.9
,,,352641354328762,,45,1.5
,,,354331121168562,"T-Mobile, 90%, 364 Cycles",28,0.9
,,,355008281291249,Active Unlock Kit,19,0.6
,,,355067541901427,,74,2.4
,,,355300183049720,Active,19,0.6
,,,355783829033440,,73,2.4
,,,356541620272248,,73,2.4
,,,356864569740201,,73,2.4
,,,356864569944217,Unlock,19,0.6
,,,357205987236407,,73,2.4
,,,359222381700076,,73,2.4
,,,359222389749273,,73,2.4
82,IPHONE 15 PRO MAX 256 GB,5,351071527417030,Active T-Mobile,14,0.5
,,,351661825602182,,73,2.4
,,,352676524778959,,71,2.3
,,,357275795101812,,73,2.4
,,,358606717122974,Active,14,0.5
83,IPHONE 15 PRO 128 GB,1,350832430489197,,73,2.4
84,IPHONE 15 PRO 512 GB,1,352772254261397,,73,2.4
85,IPHONE 15 PLUS 128 GB,1,353352950838027,,73,2.4
86,IPHONE 14 PRO MAX 128 GB,2,353427814932297,,73,2.4
,,,357773240293275,,70,2.3
88,IPAD PRO M4 13 (W+C) 256 GB,5,352066342028508,,73,2.4
,,,352355700129150,,40,1.3
,,,352355706300888,,40,1.3
,,,356334540191734,,73,2.4
,,,356334540659417,,73,2.4
89,APPLE WATCH ULTRA 2 49MM,4,352905161312222,,73,2.4
,,,356706681272813,,73,2.4
,,,356706681483527,,73,2.4
,,,MWQ0WFVHTG,,48,1.6
90,APPLE WATCH SERIES 11 42MM,3,356544771064406,"Active Kit, Damaged Box",26,0.9
,,,358911632167553,,73,2.4
,,,358911632646218,,73,2.4
91,APPLE WATCH SERIES 10 46MM,1,353173803445491,,73,2.4
92,APPLE WATCH SE 2 44MM,1,SHP4MF2TF9Q,,74,2.4
93,APPLE WATCH SE 2 40MM,3,358345392856594,,73,2.4
,,,SDCLXG1749Y,,73,2.4
,,,SJ460W9GH4F,,73,2.4
94,SKYLINE V2 POUCH 3,5,skylinev2pouch30001,,74,2.4
,,,skylinev2pouch30002,,74,2.4
,,,skylinev2pouch30003,,74,2.4
,,,skylinev2pouch30004,,74,2.4
,,,skylinev2pouch30005,,74,2.4
101,IPAD PRO M5 13 (W) 1 TB,2,352355708996899,UNLOCK,19,0.6
,,,SKFHLW39006,,73,2.4
102,IPHONE 17 256 GB,3,353502586383349,,19,0.6
,,,355714606034723,Active Unlock,28,0.9
,,,356484797025059,,15,0.5
103,IPHONE 16 128 GB,2,353685834007800,,70,2.3
,,,357253672862772,T-Mobile,14,0.5
104,APPLE WATCH SERIES 11 46MM,3,354123752557134,,73,2.4
,,,354123755217074,,73,2.4
,,,354123758405866,,65,2.1
105,APPLE WATCH SE 3 44MM,2,357550246973039,,73,2.4
,,,357550249890172,"Active, Fully Damaged Box",40,1.3
107,ONN SINGLE USE CAMERA WITH FLASH,10,onnsingleusecamera00001,,73,2.4
,,,onnsingleusecamera00002,,73,2.4
,,,onnsingleusecamera00003,,73,2.4
,,,onnsingleusecamera00004,,73,2.4
,,,onnsingleusecamera00005,,73,2.4
,,,onnsingleusecamera00006,,73,2.4
,,,onnsingleusecamera00007,,73,2.4
,,,onnsingleusecamera00008,,73,2.4
,,,onnsingleusecamera00009,,73,2.4
,,,onnsingleusecamera00010,,73,2.4
108,ONN RE-USABLE CAMERA WITH FLASH,1,onnreusablecamera00001,,73,2.4
110,POKEMON CARD,1,196214119062,,74,2.4
111,LENOVO THINK VISION E24-40 LCD MONITOR,1,SV30F9ZMC,,74,2.4
113,BLINK OUTDOOR 4,1,PNT0E3015253PTAU,,74,2.4
115,GALAXY S23 ULTRA 256 GB,1,353138601828735,,74,2.4
116,ASTRO BOT GAME CD,1,astrobotgame00001,,73,2.4
117,BRAUN SILK EPILATOR 9,4,silkepilator90001,,73,2.4
,,,silkepilator90002,,73,2.4
,,,silkepilator90003,,73,2.4
,,,silkepilator90004,,73,2.4
118,BRAUN SILK EPILATOR 7,3,silkepilator70001,,73,2.4
,,,silkepilator70002,,73,2.4
,,,silkepilator70003,,73,2.4
119,BRAUN SHAVER 6,4,shaver60001,,73,2.4
,,,shaver60002,,73,2.4
,,,shaver60003,,73,2.4
,,,shaver60004,,73,2.4
120,BRAUN ALL IN ONE TRIMMER 7,1,allinonetrimmer70001,,73,2.4
121,BRAUN ALL IN ONE TRIMMER 5,3,allinonetrimmer50001,,73,2.4
,,,allinonetrimmer50002,,73,2.4
,,,allinonetrimmer50003,,73,2.4
122,BRAUN IPL 5137,8,braunipl51370001,,73,2.4
,,,braunipl51370002,,73,2.4
,,,braunipl51370003,,73,2.4
,,,braunipl51370004,,73,2.4
,,,braunipl51370005,,73,2.4
,,,braunipl51370006,,73,2.4
,,,braunipl51370007,,73,2.4
,,,braunipl51370008,,73,2.4
123,BRAUN 9 IN 1,1,braun9in10001,,73,2.4
124,SAMSUNG GALAXY S25 ULTRA 512,1,S25ultra0001,,73,2.4
125,INSTAX WIDE 400,10,INSTAXWIDE4000001,,73,2.4
,,,INSTAXWIDE4000002,,73,2.4
,,,INSTAXWIDE4000003,,73,2.4
,,,INSTAXWIDE4000004,,73,2.4
,,,INSTAXWIDE4000005,,73,2.4
,,,INSTAXWIDE4000006,,73,2.4
,,,INSTAXWIDE4000007,,73,2.4
,,,INSTAXWIDE4000008,,73,2.4
,,,INSTAXWIDE4000009,,73,2.4
,,,INSTAXWIDE4000010,,73,2.4
127,IPHONE 13 PRO MAX 512 GB,1,359811269284607,,73,2.4
129,Galaxy Tab S10 FE,2,353729490518146,,73,2.4
,,,353729490556559,,73,2.4
130,Galaxy Watch Ultra,2,355362421357711,,73,2.4
,,,355362421357943,,73,2.4
131,DJI MAVIC 4 PRO STANDARD,5,1581F8LQC255Q0022GKA,,27,0.9
,,,1581F8LQC259Q0025JUL,,27,0.9
,,,1581F8LQC259Q0025K9A,,27,0.9
,,,1581F8LQC259V0025QG5,,27,0.9
,,,1581F8LQC25AC00260CR,,27,0.9
132,IPHONE 16 PLUS 128 GB,2,359012142740655,,14,0.5
,,,359012142968009,,14,0.5
133,GOOGLE PIXEL 7,1,pixel70001,,71,2.3
136,IPHONE 11 PRO MAX 256,2,353890109487576,,71,2.3
,,,353894107001488,,70,2.3
138,IPHONE 15 128 GB,1,351399080605059,T-Mobile,14,0.5
139,IPHONE 17 PRO MAX 1 TB,2,355478870669040,,45,1.5
,,,356764177871267,Active Unlock,28,0.9
140,IPHONE 16 PRO MAX 1 TB,1,355445520481381,,70,2.3
141,IPHONE 16 256 GB,1,357762265949689,,70,2.3
142,IPHONE 16E 128 GB,1,355852812209224,,70,2.3
143,IPHONE 14 PRO MAX 256 GB,1,357773241392274,,70,2.3
144,IPHONE 13 128 GB,1,358691739992588,,70,2.3
145,IPHONE SE 128 GB,1,358229303109360,,70,2.3
150,"MACBOOK PRO M5 14 24 GB, 1 TB",1,SH6YQYG26TH,Active,19,0.6
151,"MACBOOK PRO M4 PRO 14 24 GB, 512 GB",1,SG0F6NXGK0F,UNLOCK,20,0.7
152,APPLE WATCH ULTRA 3 49MM,2,356187982544475,"Active, Missing Band",15,0.5
,,,356187982825569,"Black Ti, Trail",22,0.7
155,META WAYFARER GEN 2,1,4V37W31J0G030M,,26,0.9
163,"MACBOOK AIR M4 15 16 GB, 512 GB",3,SDH3C5K2MMW,,20,0.7
,,,SFJ9KJ60JWV,,34,1.1
,,,SM5J2KJ4X0Q,,61,2.0
169,IPHONE 16 PRO MAX 512 GB,3,356339499985713,,45,1.5
,,,357031376241620,,73,2.4
,,,359222380879988,,61,2.0
175,IPAD AIR M3 13 (W) 512GB,1,SH9VD9QWCXX,,57,1.9
176,IPAD AIR M3 13 (W+C) 128GB,3,359200571409948,Open Seal,15,0.5
,,,359200572050824,,15,0.5
,,,359200576179967,UNLOCK,19,0.6
180,APPLE IPAD MAGIC KEYBOARD 13,1,SM70QML77NL,,45,1.5
184,IPAD PRO M1 (W) 128GB,1,SQG9JJ2CJQK,,45,1.5
185,IPHONE AIR 1TB,1,358838942166878,,34,1.1
186,"MACBOOK AIR M4 15 24GB, 512 GB",3,SCGWRWYNXT3,,34,1.1
,,,SDY2QGJ4FGX,,28,0.9
,,,SKQQRQLQFP1,,34,1.1
198,"IMAC M4 24 16 GB, 256 GB",1,SMPHYYH41N4,,28,0.9
200,AIRPODS MAX,1,SH0YLM37J01TV,,28,0.9
203,HP 15-FC0509DS,2,1H85401CSQ,,26,0.9
,,,1H85401DT8,,26,0.9
204,HP CHROMEBOOK PLUS X360,1,VNY5240GR8,,26,0.9
205,LENOVO IDEA PAD 1,1,SPF5TPHHT,,26,0.9
206,"MACBOOK AIR M4 15 16 GB, 256 GB",1,HM43TPX49F,Active T-M,19,0.6
