Report Report

item id,item name,quantity,serial number,serial comment,age in days,age in months
23,NINJA PORTABLE BLENDER,10,ninjaportableblender0001,,103,3.4
,,,ninjaportableblender0002,,103,3.4
,,,ninjaportableblender0003,,103,3.4
,,,ninjaportableblender0004,,103,3.4
,,,ninjaportableblender0005,,103,3.4
,,,ninjaportableblender0006,,103,3.4
,,,ninjaportableblender0007,,103,3.4
,,,ninjaportableblender0008,,103,3.4
,,,ninjaportableblender0009,,103,3.4
,,,ninjaportableblender0010,,103,3.4
25,META QUEST 3S,1,metaquest3s001,,103,3.4
27,PS5 PRO,6,S01F14A01GH910814953,,14,0.5
,,,S01F14C01GH910960732,,14,0.5
,,,S01K25701VJ910344064,,14,0.5
,,,S01K25701VJ910362006,,14,0.5
,,,S01K25801VJ910374308,,14,0.5
,,,S01K25901VJ910463962,,14,0.5
28,PLAYSTATION PORTAL,2,playstationportal00003,,14,0.5
,,,playstationportal00004,,14,0.5
29,PS5 CD DISCS,59,cddragonage030,,104,3.4
,,,cddragonage031,,104,3.4
,,,cddragonage032,,104,3.4
,,,cddragonage033,,104,3.4
,,,cddragonage034,,104,3.4
,,,cddragonage035,,104,3.4
,,,cddragonage036,,104,3.4
,,,cddragonage037,,104,3.4
,,,cddragonage038,,104,3.4
,,,cddragonage039,,104,3.4
,,,cddragonage040,,104,3.4
,,,cddragonage041,,104,3.4
,,,cddragonage042,,104,3.4
,,,cddragonage043,,104,3.4
,,,cddragonage044,,104,3.4
,,,cddragonage045,,104,3.4
,,,cddragonage046,,104,3.4
,,,cddragonage047,,104,3.4
,,,cddragonage048,,104,3.4
,,,cddragonage049,,104,3.4
,,,cddragonage050,,104,3.4
,,,cddragonage051,,104,3.4
,,,cddragonage052,,104,3.4
,,,cddragonage053,,104,3.4
,,,cddragonage054,,104,3.4
,,,cddragonage055,,104,3.4
,,,cddragonage056,,104,3.4
,,,cddragonage057,,104,3.4
,,,cddragonage058,,104,3.4
,,,cddragonage059,,104,3.4
,,,cddragonage060,,104,3.4
,,,cddragonage061,,104,3.4
,,,cddragonage062,,104,3.4
,,,cddragonage063,,104,3.4
,,,cddragonage064,,104,3.4
,,,cddragonage065,,104,3.4
,,,cddragonage066,,104,3.4
,,,cddragonage067,,104,3.4
,,,cddragonage068,,104,3.4
,,,cddragonage069,,104,3.4
,,,cddragonage070,,104,3.4
,,,cddragonage071,,104,3.4
,,,cddragonage072,,104,3.4
,,,cddragonage073,,104,3.4
,,,cddragonage074,,104,3.4
,,,cddragonage075,,104,3.4
,,,cddragonage076,,104,3.4
,,,cddragonage077,,104,3.4
,,,cddragonage078,,104,3.4
,,,cddragonage079,,104,3.4
,,,cddragonage080,,104,3.4
,,,cddragonage081,,104,3.4
,,,cddragonage082,,104,3.4
,,,cddragonage083,,104,3.4
,,,cddragonage084,,104,3.4
,,,cddragonage085,,104,3.4
,,,cddragonage086,,104,3.4
,,,cddragonage087,,104,3.4
,,,cddragonage088,,104,3.4
32,CYBERPOWER PC SERIES C,2,2388071,,103,3.4
,,,2431142,,103,3.4
33,BEATS PILL SPEAKER,2,SCRGHQQVPXF,,103,3.4
,,,SFN4KXRQCTK,,103,3.4
34,BEATS POWERBEATS PRO BUDS,2,SH2DN10B1LN3P,,103,3.4
,,,SH2JMX109LN3P,,103,3.4
38,GARMIN VIVOACTIVE 5 WATCH,1,87F852433,,103,3.4
41,AIRPODS 4,6,SFNV5XWP235,,19,0.6
,,,SG5J4D6L7CF,,19,0.6
,,,SGW14WNWRLY,,103,3.4
,,,SHVJJJQWFQ1,,103,3.4
,,,SKTH7XD95H4,,103,3.4
,,,SL7Y4W3V6VT,,19,0.6
42,AIRPODS PRO 3,1,SKW6JXF12HG,,19,0.6
43,AIRPODS 4 (ANC),4,SCFYQ7TH6H7,,19,0.6
,,,SFNP6DHG2RG,,19,0.6
,,,SGYXVJ6FWFY,,19,0.6
,,,SJFR2DCW5P6,,19,0.6
46,GOOGLE PIXEL BUDS 2A,2,58111WRBJB0499,,103,3.4
,,,59101WRBJB3416,,103,3.4
52,GOOGLE PIXEL WATCH 4,1,359117430967728,,103,3.4
56,"MACBOOK AIR M4 13 16 GB, 256 GB",1,SK7CQKF67JR,"Open Seal,Active",19,0.6
63,IPAD A16 (W+C)128 GB,1,352302619790334,,77,2.5
65,IPAD PRO M4 13 (W) 256 GB,1,SJXKF950C3P,,103,3.4
68,IPHONE 17 PRO MAX 256 GB,22,350599861905138,,19,0.6
,,,350599864945941,Deep Blue,14,0.5
,,,353497859412638,,3,0.1
,,,355246652904624,,19,0.6
,,,355246653293753,,19,0.6
,,,355246654083880,,19,0.6
,,,356392245134417,,19,0.6
,,,356392249759375,,3,0.1
,,,357329442436756,,19,0.6
,,,357329443926888,,19,0.6
,,,357329444074464,,19,0.6
,,,357329449874504,,3,0.1
,,,358206134261263,,19,0.6
,,,358206135403369,,19,0.6
,,,358206137666229,,3,0.1
,,,358206137895950,,3,0.1
,,,358419948776950,,3,0.1
,,,358902515071079,,19,0.6
,,,358902517895012,,3,0.1
,,,359814713591031,,19,0.6
,,,359814718743991,Active,3,0.1
,,,A-357063607031736,Sale and return after deducation,1,0.0
70,IPHONE 17 PRO 256 GB,6,355079365357768,,3,0.1
,,,355832516130116,LCD Damage,56,1.8
,,,356245415657239,Silver,14,0.5
,,,356245416551316,Silver,14,0.5
,,,356245416649979,Deep Blue,14,0.5
,,,357254472231267,,9,0.3
73,"ACER ASPIRE 7 A715-59G-58A8 16 GB, 512 GB",10,NHQX6SA001513010BD0X15,,103,3.4
,,,NHQX6SA001513011270X15,,103,3.4
,,,NHQX6SA00151500FB40X15,,103,3.4
,,,NHQX6SA0015200102D0X15,,103,3.4
,,,NHQX6SA001520011800X15,,103,3.4
,,,NHQX6SA001520011B70X15,,103,3.4
,,,NHQX6SA001520011E20X15,,103,3.4
,,,NHQX6SA001520013F90X15,,103,3.4
,,,NHQX6SA001520013FC0X15,,103,3.4
,,,NHQX6SA001520014060X15,,103,3.4
75,IPHONE 17 PRO MAX 512 GB,1,357826998153354,Active Kit,64,2.1
77,IPHONE 17 AIR 256 GB,2,355413814918419,,56,1.8
,,,358302116096056,,19,0.6
78,IPHONE 17 512 GB,1,351523426490179,,103,3.4
79,IPHONE 16 PRO MAX 256 GB,12,351614405937593,"Active T-Mobile, Back broken Kit",19,0.6
,,,351614406649742,Active Kit,49,1.6
,,,354661674476982,Active Kit,19,0.6
,,,354661676285225,"Active, Spot on Screen Kit",19,0.6
,,,355008281291249,Active Unlock Kit,49,1.6
,,,355783829033440,,103,3.4
,,,356541620272248,,103,3.4
,,,356864569740201,,103,3.4
,,,356864569944217,Unlock,49,1.6
,,,359222381700076,,103,3.4
,,,359222389749273,,103,3.4
,,,359518870314638,"Active, Damage Kit",19,0.6
82,IPHONE 15 PRO MAX 256 GB,2,351661825602182,,103,3.4
,,,352551952296362,Kit,19,0.6
83,IPHONE 15 PRO 128 GB,1,350832430489197,,103,3.4
84,IPHONE 15 PRO 512 GB,1,352772254261397,,103,3.4
85,IPHONE 15 PLUS 128 GB,1,353352950838027,,103,3.4
86,IPHONE 14 PRO MAX 128 GB,2,353427814932297,,103,3.4
,,,357773240293275,,100,3.3
88,IPAD PRO M4 13 (W+C) 256 GB,3,352066342028508,,103,3.4
,,,356334540191734,,103,3.4
,,,356334540659417,,103,3.4
89,APPLE WATCH ULTRA 2 49MM,3,352905161312222,,103,3.4
,,,356706681272813,,103,3.4
,,,356706681516581,,78,2.6
90,APPLE WATCH SERIES 11 42MM,4,356544771064406,"Active Kit, Damaged Box",56,1.8
,,,358911631164577,S/M CEL,19,0.6
,,,358911632167553,,103,3.4
,,,358911632646218,,103,3.4
91,APPLE WATCH SERIES 10 46MM,1,353173803445491,,103,3.4
92,APPLE WATCH SE 2 44MM,1,SHP4MF2TF9Q,,104,3.4
93,APPLE WATCH SE 2 40MM,4,358345392856594,,103,3.4
,,,SDCLXG1749Y,,103,3.4
,,,SHXFYX326D0,,19,0.6
,,,SJ460W9GH4F,,103,3.4
94,SKYLINE V2 POUCH 3,5,skylinev2pouch30001,,104,3.4
,,,skylinev2pouch30002,,104,3.4
,,,skylinev2pouch30003,,104,3.4
,,,skylinev2pouch30004,,104,3.4
,,,skylinev2pouch30005,,104,3.4
102,IPHONE 17 256 GB,9,353502586383349,,49,1.6
,,,354717538385015,Unlock,19,0.6
,,,354717538699399,Unlock,19,0.6
,,,354717538751802,Unlock,19,0.6
,,,354717539197690,Unlock,19,0.6
,,,355714606034723,Active Unlock,58,1.9
,,,355714608878614,Unlock,19,0.6
,,,355714609037558,Unlock,19,0.6
,,,355714609072803,Unlock,19,0.6
103,IPHONE 16 128 GB,1,351420495323870,Unlock,19,0.6
104,APPLE WATCH SERIES 11 46MM,3,354123752557134,,103,3.4
,,,354123755217074,,103,3.4
,,,354123758405866,,95,3.1
105,APPLE WATCH SE 3 44MM,2,357550246973039,,103,3.4
,,,357550249890172,"Active, Fully Damaged Box",70,2.3
107,ONN SINGLE USE CAMERA WITH FLASH,10,onnsingleusecamera00001,,103,3.4
,,,onnsingleusecamera00002,,103,3.4
,,,onnsingleusecamera00003,,103,3.4
,,,onnsingleusecamera00004,,103,3.4
,,,onnsingleusecamera00005,,103,3.4
,,,onnsingleusecamera00006,,103,3.4
,,,onnsingleusecamera00007,,103,3.4
,,,onnsingleusecamera00008,,103,3.4
,,,onnsingleusecamera00009,,103,3.4
,,,onnsingleusecamera00010,,103,3.4
108,ONN RE-USABLE CAMERA WITH FLASH,1,onnreusablecamera00001,,103,3.4
110,POKEMON CARD,1,196214119062,,104,3.4
111,LENOVO THINK VISION E24-40 LCD MONITOR,1,SV30F9ZMC,,104,3.4
113,BLINK OUTDOOR 4,1,PNT0E3015253PTAU,,104,3.4
116,ASTRO BOT GAME CD,1,astrobotgame00001,,103,3.4
117,BRAUN SILK EPILATOR 9,4,silkepilator90001,,103,3.4
,,,silkepilator90002,,103,3.4
,,,silkepilator90003,,103,3.4
,,,silkepilator90004,,103,3.4
118,BRAUN SILK EPILATOR 7,3,silkepilator70001,,103,3.4
,,,silkepilator70002,,103,3.4
,,,silkepilator70003,,103,3.4
119,BRAUN SHAVER 6,4,shaver60001,,103,3.4
,,,shaver60002,,103,3.4
,,,shaver60003,,103,3.4
,,,shaver60004,,103,3.4
120,BRAUN ALL IN ONE TRIMMER 7,1,allinonetrimmer70001,,103,3.4
121,BRAUN ALL IN ONE TRIMMER 5,3,allinonetrimmer50001,,103,3.4
,,,allinonetrimmer50002,,103,3.4
,,,allinonetrimmer50003,,103,3.4
122,BRAUN IPL 5137,8,braunipl51370001,,103,3.4
,,,braunipl51370002,,103,3.4
,,,braunipl51370003,,103,3.4
,,,braunipl51370004,,103,3.4
,,,braunipl51370005,,103,3.4
,,,braunipl51370006,,103,3.4
,,,braunipl51370007,,103,3.4
,,,braunipl51370008,,103,3.4
123,BRAUN 9 IN 1,1,braun9in10001,,103,3.4
124,SAMSUNG GALAXY S25 ULTRA 512,1,S25ultra0001,,103,3.4
125,INSTAX WIDE 400,10,INSTAXWIDE4000001,,103,3.4
,,,INSTAXWIDE4000002,,103,3.4
,,,INSTAXWIDE4000003,,103,3.4
,,,INSTAXWIDE4000004,,103,3.4
,,,INSTAXWIDE4000005,,103,3.4
,,,INSTAXWIDE4000006,,103,3.4
,,,INSTAXWIDE4000007,,103,3.4
,,,INSTAXWIDE4000008,,103,3.4
,,,INSTAXWIDE4000009,,103,3.4
,,,INSTAXWIDE4000010,,103,3.4
127,IPHONE 13 PRO MAX 512 GB,1,359811269284607,,103,3.4
129,Galaxy Tab S10 FE,2,353729490518146,,103,3.4
,,,353729490556559,,103,3.4
130,Galaxy Watch Ultra,2,355362421357711,,103,3.4
,,,355362421357943,,103,3.4
132,IPHONE 16 PLUS 128 GB,1,359012142968009,,44,1.4
136,IPHONE 11 PRO MAX 256,2,353890109487576,,101,3.3
,,,353894107001488,,100,3.3
139,IPHONE 17 PRO MAX 1 TB,1,355478870669040,,75,2.5
140,IPHONE 16 PRO MAX 1 TB,1,355445520481381,,100,3.3
141,IPHONE 16 256 GB,1,357762265949689,,100,3.3
142,IPHONE 16E 128 GB,1,355852812209224,,100,3.3
143,IPHONE 14 PRO MAX 256 GB,1,357773241392274,,100,3.3
145,IPHONE SE 128 GB,1,358229303109360,,100,3.3
150,"MACBOOK PRO M5 14 24 GB, 1 TB",1,SH6YQYG26TH,Active,49,1.6
152,APPLE WATCH ULTRA 3 49MM,1,356187982544475,"Active, Missing Band",45,1.5
155,META WAYFARER GEN 2,2,4V0ZW04HC30BNG,"Matte Black, Clear",14,0.5
,,,4V37W31J0G030M,,56,1.8
163,"MACBOOK AIR M4 15 16 GB, 512 GB",3,SDH3C5K2MMW,,50,1.6
,,,SFJ9KJ60JWV,,64,2.1
,,,SGR7PTW594R,,19,0.6
169,IPHONE 16 PRO MAX 512 GB,2,357031376241620,,103,3.4
,,,359222380879988,,91,3.0
175,IPAD AIR M3 13 (W) 512GB,1,SH9VD9QWCXX,,87,2.9
176,IPAD AIR M3 13 (W+C) 128GB,4,359200571409948,Open Seal,45,1.5
,,,359200572050824,,45,1.5
,,,359200572850900,,14,0.5
,,,359200577322723,,14,0.5
178,IPAD PRO M3 13 (W) 256GB,1,358713097596353,,73,2.4
180,APPLE IPAD MAGIC KEYBOARD 13,1,SM70QML77NL,,75,2.5
184,IPAD PRO M1 (W) 128GB,1,SQG9JJ2CJQK,,75,2.5
186,"MACBOOK AIR M4 15 24GB, 512 GB",4,SCGWRWYNXT3,,64,2.1
,,,SDY2QGJ4FGX,,58,1.9
,,,SG1FV3VWL2W,,19,0.6
,,,SKQQRQLQFP1,,64,2.1
198,"IMAC M4 24 16 GB, 256 GB",1,SMPHYYH41N4,,58,1.9
200,AIRPODS MAX,2,SH0YLM37J01TV,,58,1.9
,,,SLCYH34KH90,Starlight,14,0.5
203,HP 15-FC0509DS,2,1H85401CSQ,,56,1.8
,,,1H85401DT8,,56,1.8
204,HP CHROMEBOOK PLUS X360,1,VNY5240GR8,,56,1.8
205,LENOVO IDEA PAD 1,1,SPF5TPHHT,,56,1.8
206,"MACBOOK AIR M4 15 16 GB, 256 GB",4,HM43TPX49F,Active T-M,49,1.6
,,,SD47WNYGPDY,,19,0.6
,,,SJ39MXYXWTY,,19,0.6
,,,SJWHJG42QRT,,19,0.6
208,IPHONE 14 PRO 128 GB,2,350923386872948,Unlock,19,0.6
,,,353501806982914,Unlock,19,0.6
209,IPHONE 14 PRO MAX 512 GB,3,353360949986039,Unlock,19,0.6
,,,357828281694722,Unlock,19,0.6
,,,357828281944143,Unlock,19,0.6
210,IPHONE 14 PRO 256 GB,1,352130219598785,Unlock,19,0.6
212,"MACBOOK AIR M4 15 24 GB, 1 TB",1,SGHXTWKQ004,,19,0.6
213,SONY NOISE CANCELLING WIRELESS HEADPHONE,1,S017712124A,,14,0.5
214,NOTEBOOK WITH WIRELESS MOUSE,3,NTB001,,14,0.5
,,,NTB002,,14,0.5
,,,NTB003,,14,0.5
215,SONOS ERA 100 SPEAKER BLACK,1,E10G1US1BLK,,14,0.5
216,"DELL 16 PLUS ICE BLUE 16 GB, 1 TB",1,VN0GTRY5WSV005BB2051,,14,0.5
